topic_num,Perplexity,Coherence
5,-5.819164082476796,0.3677628918505895
6,-5.855555218626446,0.376791959022839
7,-5.819022181016644,0.4042700809497042
8,-5.829357996232341,0.4071909547720103
9,-5.675965425316644,0.535087837325357
10,-5.752834700279386,0.43343593273771736
11,-5.677826941466992,0.5424466721658185
12,-5.7931445542427,0.4270521156173377
13,-5.77987004392692,0.4782776395102847
14,-5.80463906165463,0.49722717856163223
15,-5.859924372657432,0.45135535893199297
16,-5.811765744160111,0.5212769437092137
17,-5.815797496367288,0.5481948192802664
18,-5.822832185211667,0.517259503754846
19,-5.830593052621423,0.5644427252125542
20,-5.84275118335645,0.48800952697956007
21,-5.8335456697940975,0.5503168093070192
22,-5.8799328817585055,0.5045466280447047
23,-5.945168532062765,0.48447976002150267
24,-5.921016071246113,0.49842441134508825
25,-5.9361625767151365,0.5288467625208635
26,-5.918888274995339,0.4946749790336021
27,-5.93852105187824,0.5131409071417474
28,-5.966076608055547,0.5094652789739005
29,-5.99374431132263,0.5031565672300359
30,-6.0110699914110945,0.48954970504154793
31,-5.983758398203593,0.5252033714066551
32,-6.022473391531973,0.5110282722552819
33,-6.005651281995866,0.5112395869195817
34,-6.057208056751211,0.48201273215879514
35,-6.055855934929698,0.520727939953534
36,-6.055301336484325,0.5062359767802262
37,-6.108702428209162,0.508845093681602
38,-6.139567938480113,0.4836091860060289
39,-6.155270172179395,0.4838780321013398
40,-6.164136209086671,0.5015402684508796
41,-6.165864629209217,0.4925724497683261
42,-6.1940281334123695,0.50566548292322
43,-6.2050673099706035,0.4894244475071043
44,-6.210799036529253,0.4925409306015959
45,-6.217215967533911,0.4986491456069105
46,-6.21248097074774,0.504069345771237
47,-6.256929659003584,0.5050215684718169
48,-6.2609528018822544,0.5046304880967895
49,-6.293423265428386,0.4902947787007858
50,-6.313435066530042,0.496666901385942
51,-6.338505723613587,0.4909163335975011
52,-6.349089868209758,0.47553511130825865
53,-6.351402369995727,0.48454605098084935
54,-6.369882777260524,0.49853896025285244
55,-6.411076581634389,0.49977021019786133
56,-6.389139484303626,0.4875149896408904
57,-6.426596294308878,0.4970536393457296
58,-6.426363608815404,0.48510164333210853
59,-6.462383544049364,0.47917298355957844
